Average_Lifespan (Years),Weight (kg),Height (cm),Speed (km/h),Endangered_Level (1-5),Cluster
9,2681.54,68.99,32.55,3,1
75,3540.71,346.98,38.13,3,1
7,319.99,180.75,69.58,1,2
63,1738.07,243.8,21.81,5,1
33,4206.96,204.1,70.51,2,2
54,939.03,348.39,8.05,2,1
25,4415.02,270.0,45.75,5,1
10,378.41,296.11,91.03,4,0
63,429.22,274.25,89.35,5,0
32,3938.22,290.17,60.62,5,0
21,979.96,378.52,16.45,5,1
76,4547.65,167.05,40.59,1,2
66,4098.68,356.65,44.86,2,2
37,1989.44,23.64,28.16,1,2
56,3624.93,67.38,86.54,3,0
40,2434.74,41.36,20.08,1,2
56,4989.68,174.12,20.87,4,1
17,1081.23,209.69,72.78,4,0
7,1816.78,307.42,52.61,2,2
32,1673.59,156.73,88.32,1,2
34,1973.78,57.88,25.5,3,1
48,1499.81,241.23,80.01,1,2
33,1662.96,384.33,60.23,3,0
27,4394.12,121.22,10.32,1,2
18,3925.24,69.81,95.04,5,0
6,3865.34,103.15,87.28,4,0
57,3613.77,281.41,80.12,4,0
54,700.68,354.31,47.76,2,2
46,2497.12,164.81,84.07,5,0
24,2653.75,166.81,81.44,2,2
49,30.14,279.91,84.04,4,0
45,4858.58,387.98,25.97,2,2
32,2870.87,150.92,17.92,2,1
74,1447.51,173.43,31.36,5,1
70,531.01,110.94,27.78,5,1
59,4242.91,356.8,81.45,2,2
62,4055.98,239.75,99.63,4,0
74,2832.04,168.62,43.45,2,2
57,4745.4,314.79,95.04,4,0
47,4438.34,273.81,49.52,4,1
18,101.78,227.67,81.58,1,2
58,819.63,341.25,76.44,1,2
7,939.66,130.9,76.69,1,2
28,4947.56,190.77,8.75,1,2
12,704.93,33.79,82.68,1,2
61,1027.38,106.98,38.4,3,1
19,4577.46,331.63,40.99,4,1
63,4447.07,45.63,10.96,1,2
48,4488.04,54.31,77.54,4,0
11,4584.15,246.78,14.72,5,1
67,3370.47,149.09,67.63,1,2
8,3337.63,122.15,39.99,4,1
31,4647.34,67.64,11.72,4,1
9,772.26,251.57,73.21,4,0
76,244.17,63.01,72.85,1,2
34,2585.07,281.89,75.61,2,2
76,970.03,105.72,40.63,1,2
42,3643.06,358.77,74.8,5,0
74,975.24,228.2,12.92,1,2
35,4965.92,323.15,84.21,3,2
55,753.33,186.95,5.51,5,1
36,2361.64,305.95,17.67,4,1
26,808.63,366.56,45.99,5,1
58,996.65,209.24,63.02,4,0
22,3208.32,214.73,30.54,5,1
47,2489.82,374.27,18.61,3,1
31,179.57,209.3,60.31,3,0
64,2316.97,113.41,55.8,2,2
27,53.54,387.93,40.6,4,1
73,4628.41,243.13,18.51,2,1
11,3543.03,53.42,44.16,4,1
45,3333.11,383.83,90.4,2,2
37,1014.42,355.99,15.18,3,1
18,2032.02,377.08,14.82,5,1
11,390.11,166.3,14.14,5,1
49,1339.79,139.49,95.3,3,0
57,884.12,338.38,27.84,1,2
74,3668.59,81.9,13.98,4,1
72,4351.47,182.01,9.49,5,1
22,4321.58,241.79,58.49,2,2
31,2356.08,184.02,38.9,5,1
74,3668.48,136.43,27.93,4,1
34,4738.23,307.86,12.47,4,1
70,2109.63,158.85,49.26,2,2
78,192.78,349.44,38.81,2,2
32,1601.15,45.64,71.58,4,0
72,2651.98,363.39,39.97,1,2
47,4338.69,39.41,33.5,1,2
52,2407.66,24.2,26.15,1,2
57,900.83,91.2,26.38,3,1
11,3106.23,114.48,65.54,5,0
35,3762.17,116.56,60.98,3,2
56,3792.74,174.35,96.8,3,0
49,1427.54,297.37,48.94,3,0
58,3035.94,92.03,19.75,5,1
58,3881.82,116.66,20.97,5,1
74,2298.79,252.66,8.39,2,1
38,2448.26,236.89,22.19,4,1
53,4494.65,329.1,58.47,1,2
62,4096.17,179.21,24.63,5,1
11,245.04,240.48,91.94,2,2
38,3596.05,48.74,85.61,3,0
65,2964.8,307.66,8.25,4,1
66,4391.76,97.48,83.21,1,2
9,2059.05,197.24,22.3,5,1
44,1861.39,238.05,17.12,1,2
31,755.84,199.24,50.84,2,2
49,2055.41,210.62,29.61,1,2
59,4258.6,273.73,93.76,3,0
74,2029.87,68.41,92.36,4,0
65,3134.76,199.42,50.4,5,0
39,4.84,137.66,26.68,3,1
9,3803.82,195.59,81.68,3,2
32,99.01,358.79,10.96,4,1
64,2656.72,242.19,60.84,5,0
24,3464.1,184.23,10.87,2,1
9,570.93,358.28,10.9,3,1
19,3300.06,56.54,82.75,2,2
29,2117.29,241.88,33.48,4,1
33,391.62,36.72,41.52,3,1
16,946.88,320.99,99.22,5,0
51,1285.43,66.71,87.2,5,0
63,1332.96,276.96,11.46,2,1
65,3610.63,101.36,73.04,5,0
28,836.21,45.11,78.12,5,0
50,260.31,173.5,72.94,3,0
37,4702.68,187.4,7.35,5,1
41,501.37,365.22,44.65,3,1
32,2688.27,249.89,35.25,1,2
10,736.67,353.13,81.84,1,2
24,4410.27,151.01,27.49,1,2
37,586.77,294.51,66.33,3,0
5,3195.72,42.89,49.63,3,2
71,2942.96,28.24,60.94,1,2
33,4923.89,201.31,63.19,2,2
58,3359.75,324.09,7.33,4,1
9,3904.42,212.31,59.5,4,1
10,2792.78,40.17,92.35,3,0
46,4649.25,378.45,14.22,1,2
53,101.53,332.87,17.27,1,2
19,174.86,209.31,9.76,3,1
9,4596.41,204.34,98.7,1,2
76,2269.33,265.56,75.71,3,0
64,20.93,48.05,74.38,5,0
15,134.33,307.05,43.36,1,2
69,237.11,331.86,73.92,5,0
24,4773.39,389.56,7.14,3,1
41,2694.58,379.77,71.25,3,0
51,2563.55,281.31,89.63,2,2
34,2599.33,197.65,77.7,3,0
51,213.37,63.67,41.02,5,0
77,2940.23,105.57,83.76,1,2
37,778.89,84.32,96.74,3,0
56,1921.41,256.84,16.35,4,1
62,1404.4,341.16,48.38,5,0
68,1976.22,31.11,66.24,3,0
22,1932.12,303.4,82.2,4,0
62,4503.59,335.46,94.87,3,0
18,3774.42,79.51,78.25,1,2
49,1099.46,183.46,5.78,5,1
34,71.76,154.58,92.35,3,0
61,2797.29,129.6,7.32,4,1
71,1254.91,181.56,71.56,1,2
66,2028.67,323.4,46.85,5,0
64,2611.7,155.09,69.88,2,2
58,227.87,357.38,99.61,3,0
45,16.49,100.41,52.84,1,2
23,1242.67,373.21,12.76,3,1
8,326.8,243.22,81.2,5,0
47,2737.94,371.02,99.33,3,0
13,160.57,197.37,99.37,1,2
71,1983.54,295.77,87.23,4,0
24,3925.06,273.01,81.58,4,0
15,1208.46,326.1,36.47,4,1
48,4699.5,190.79,17.83,5,1
39,1633.2,238.56,30.59,4,1
37,1888.77,356.44,14.05,4,1
74,1589.91,27.47,14.04,3,1
74,4618.62,398.39,36.39,1,2
77,1798.2,87.59,73.07,4,0
54,399.2,248.41,11.71,1,2
67,4908.65,343.42,42.43,3,1
14,4081.2,352.81,85.63,5,0
72,2544.06,205.44,57.85,1,2
12,1555.4,238.04,6.13,5,1
69,3760.49,215.84,40.44,5,1
17,1387.84,194.71,49.39,5,1
29,3138.86,160.88,9.93,2,1
59,4389.65,129.1,62.79,3,2
73,3027.69,305.99,11.13,2,1
19,122.66,286.83,16.21,1,2
56,4234.68,383.36,58.69,4,0
23,662.08,60.55,65.88,4,0
48,859.13,194.48,6.62,3,1
15,1089.64,45.35,70.18,2,2
13,1552.47,354.18,57.55,2,2
12,1316.58,356.06,32.43,2,2
15,4433.95,30.08,48.47,3,2
22,3889.87,116.51,95.05,1,2
40,3051.59,109.4,51.93,3,2
9,220.38,61.27,12.96,2,1
7,3465.38,21.81,5.18,1,2
16,3066.44,66.49,15.96,1,2
40,3327.86,229.47,60.77,5,0
42,2386.81,201.78,49.17,5,0
42,2029.56,79.42,74.13,3,0
7,4598.56,163.08,87.15,1,2
70,611.69,189.21,42.4,2,2
63,870.43,82.02,81.97,5,0
71,793.38,398.76,44.66,5,0
9,455.23,239.75,63.67,1,2
72,4369.81,256.92,35.14,2,2
22,2656.11,36.04,49.43,2,2
37,3984.9,324.38,9.66,4,1
52,525.64,188.96,91.86,5,0
79,2347.5,311.85,35.78,2,2
74,3566.42,317.46,16.91,5,1
76,2680.44,28.46,67.64,5,0
66,3388.51,377.35,80.52,1,2
26,2874.27,40.18,65.47,3,2
46,3073.34,345.06,75.03,3,0
56,3452.49,81.31,96.48,4,0
7,1746.74,391.23,57.51,1,2
9,2928.16,220.65,25.01,2,2
12,2772.88,393.06,30.58,2,2
69,2353.28,290.58,38.67,3,1
5,2402.19,208.32,94.99,3,0
11,3965.53,150.45,92.49,1,2
75,3251.14,50.63,22.05,5,1
10,3678.13,317.37,31.97,4,1
24,4198.06,133.73,98.35,2,2
43,4497.59,284.61,60.06,2,2
10,1358.54,93.22,54.9,1,2
17,4448.78,196.64,18.27,4,1
24,3310.96,344.93,84.52,4,0
25,4716.0,388.9,38.61,5,1
79,2419.98,350.77,62.34,2,2
20,881.09,296.18,97.67,3,0
23,4183.13,219.22,76.35,3,2
57,3594.45,279.01,10.77,3,1
8,3356.2,83.27,97.29,1,2
58,716.69,343.57,66.43,5,0
64,3665.62,377.42,81.46,4,0
14,2887.77,206.37,16.64,4,1
74,454.79,165.79,56.92,1,2
75,3596.8,126.38,72.56,4,0
45,589.72,305.34,79.42,3,0
35,4036.14,136.78,40.37,2,2
69,2006.94,69.69,87.5,4,0
16,495.28,176.59,92.79,5,0
62,545.53,316.83,56.54,1,2
74,1111.5,38.18,93.77,1,2
58,4412.89,351.7,5.2,4,1
73,288.1,343.11,60.93,3,0
18,2544.7,69.36,12.99,2,1
42,2734.39,374.05,46.2,4,1
60,1180.65,211.72,75.18,1,2
37,3139.62,336.38,95.09,1,2
15,876.65,37.24,89.28,5,0
22,4242.36,341.25,98.64,2,2
63,973.03,91.2,34.29,1,2
41,50.66,101.07,84.14,5,0
50,757.02,28.4,67.46,2,2
54,3389.51,301.17,51.96,4,0
60,600.14,205.25,9.34,4,1
37,4554.68,138.22,94.47,4,0
76,4526.29,347.63,94.86,3,0
31,4596.82,208.29,95.6,2,2
76,649.88,306.49,62.89,3,0
28,2668.99,89.15,50.86,5,1
68,2557.77,185.65,84.99,3,0
30,4328.67,89.74,83.09,3,2
8,182.28,21.11,50.2,3,1
62,260.22,227.87,79.26,3,0
33,4520.16,184.33,56.41,2,2
79,1283.19,205.68,70.37,2,2
42,3543.55,137.36,85.61,3,0
79,2501.19,199.64,21.41,1,2
13,2189.66,150.37,63.83,1,2
53,4510.76,381.68,56.96,4,0
75,3246.25,178.37,73.35,1,2
28,4119.92,242.43,45.69,3,1
28,2639.82,82.12,21.76,5,1
22,3320.98,173.32,25.97,3,1
